REVIEW_PANEL,MEDICALSPECIALTY,PRODUCTCODE,DEVICENAME,DEVICECLASS,UNCLASSIFIED_REASON,GMPEXEMPTFLAG,THIRDPARTYFLAG,REVIEWCODE,REGULATIONNUMBER,SUBMISSION_TYPE_ID,SUBMISSION_TYPE,DEFINITION,PHYSICALSTATE,TECHNICALMETHOD,TARGETAREA,Implant_Flag,Life_Sustain_support_flag,SummaryMalfunctionReporting
OP,Ophthalmic,PLX,Tear Duct Occluder,1,Pre-Amendment,N,N,,886.5838,4,510(K) Exempt,A nasolacrimal compression device is a device used to compress the nasolacrimal ducts to reduce drainage by means of temporary occlusion of the nasolacrimal system.  The device may include a nose piece attached to a frame to apply pressure to the duct.,"the frame material (e.g., metal) is durable and flexible enough to appropriately fit the frame to the patient and maintain nose pad placement. The nose pads from which the pressure is applied should include padding to mitigate risk of abrasion. The device also includes a mechanism to maintain consistent pressure during use (e.g., adjustable Velcro strap).",A device of this type uses a nose piece to apply direct pressure to the top of the nasal aspect of the orbital rim to occlude the ducts during application of the pressure.  The pressure can be controlled by means of tightening a strap that is worn around a patient's head. The device includes a failure mechanism to protect against excessive pressure.,Nasal aspect of orbital rim,N,N,Eligible
SU,General & Plastic Surgery,QFC,Negative Pressure Wound Therapy Device For Reduction Of Wound Complications,2,IDE,N,N,,878.4783,1,510(K),"A negative pressure wound therapy device for reduction of wound complications is a powered suction pump intended for wound management and reduction of wound complications via application of negative pressure to the wound, which removes fluids, including wound exudate, irrigation fluids, and infectious materials. This device type is intended for use with wound dressings classified under 21 CFR 878.4780. This classification does not include devices intended for organ space wounds.",The device is a portable suction pump with a canister for fluid collection.,"The device, when used with legally marketed compatible dressings, applies negative pressure to the wound, which removes fluids, including wound exudate, irrigation fluids, and infectious materials.","The device, when used with legally marketed compatible dressings, is intended to be applied to closed surgical incisions after surgery.",N,N,Ineligible
HO,General Hospital,QEH,Piston Syringe With Neuraxial Connector - Epidural And Peripheral Delivery,2,IDE,N,N,,880.5860,1,510(K),A neuraxial piston syringe is intended to inject or withdraw fluid from the neuraxial space with neuraxial specific connections. This product code includes epidural and peripheral administration routes. The connector for neuraxial applications is intended to facilitate ANSI/AAMI/ISO 80369-6:2016 compliant neuraxial specific connections.,A piston syringe is a device intended for medical purposes that consists of a   calibrated hollow barrel and a movable plunger.,A piston syringe is a device intended for medical purposes that consists of a   calibrated hollow barrel and a movable plunger. The connector may be compliant with ANSI/AAMI/ISO  80369-6: 2016: “Small bore connectors for liquids and gases in healthcare applications – Part 6 Connectors for neuraxial applications”,Sites for the neuraxial application include the epidural and peripheral nerve locations.,N,N,Ineligible
NE,Neurology,POL,Neurovascular Mechanical Thrombectomy Device For Acute Ischemic Stroke Treatment,2,IDE,N,N,,882.5600,1,510(K),"A neurovascular mechanical thrombectomy device for acute ischemic stroke treatment is a prescription device used in the treatment of acute ischemic stroke to improve clinical outcomes. The device is delivered into the neurovasculature with an endovascular approach, mechanically removes thrombus from the body, and restores blood flow in the neurovasculature.",The device is delivered into the neurovasculature with an endovascular approach and mechanically removes thrombus from the body and restores blood flow.,The device is delivered into the neurovasculature with an endovascular approach and mechanically removes thrombus from the body and restores blood flow.,Neurovasculature,N,N,Ineligible
IM,Immunology,PJI,Severe Combined Immunodeficiency Disorder (Scid) Newborn Screening Test System,2,IDE,N,Y,,866.5930,1,510(K),A newborn screening test for severe combined immunodeficiency (SCID) intended for the detection of T-cell receptor excision circle (TREC) genomic DNA isolated from newborn blood specimens dried on filter paper.  It is intended as an aid in screening newborns for severe combined immunodeficiency (SCID).,"The test consists of primers and probes to amplify and detect genomic DNA obtained from newborn peripheral blood dried on filter paper.  The device includes reagents, instruments, software and consumables, and may integrate punching of a dried blood spot specimen from filter paper and may include controls and calibrators.  The instrumentation enables quantitative result output based comparison between amplified specific targeted sequence relative to a standard or normalizer (e.g., alternate gene sequence).  The instrumentation may also include mechanisms to store raw data.",The test system uses primers to amplify genomic DNA obtained from newborn peripheral blood dried on filter paper and probes to detect specific DNA targets of interest.,Human peripheral blood,N,N,Eligible
PA,Pathology,PQP,"Next Generation Sequencing Oncology Panel, Somatic Or Germline Variant Detection System",3,For Export Only,N,N,,,2,PMA,A next generation sequencing (NGS) oncology panel is a device used for the qualitative detection of germline or somatic variants in one or more cancer-related genes. The device is intended to be used on DNA or RNA isolated from human clinical specimens.,"Multiplex, high-throughput next generation sequencing-based test system. The device may include hybridization- or amplification-based capture methods for library construction. Test consists of reagents, instrumentation, software, and instructions needed to perform the test method.",The assay uses next generation sequencing technology to sequence and identify nucleic acid variants located in specified genes associated with clinical cancer specimens. Variants are identified by comparison to a specified reference sequence.,Human clinical specimens,N,N,Eligible
PA,Pathology,QFK,Tumor Gene Profiling Test,3,For Export Only,N,N,,,3,Contact ODE,A next-generation sequencing based tumor profiling test is a qualitative in vitro diagnostic test intended to detect mutations in a broad panel of targeted genes that are somatically altered in malignant neoplasms from nucleic acids isolated from human clinical specimens obtained from patients diagnosed with malignant neoplasms using targeted next-generation sequencing.,"The device may include specimen handling, nucleic acid purification methods, specialized molecular reagents for target enrichment, library preparation and sequencing reagents, instrument systems and software.  May also include algorithms based on sequencing results for the purpose of deriving a clinical decision point for a qualitative result output.    Should not include devices intended for re-importation.","The device utilizes high throughput, massively parallel targeted sequencing including molecular reagents for target enrichment, library preparation, and sequencing using multiplexed polymerase chain reactions, sequencing instrumentation, and bioinformatics software. May also include algorithms based on sequencing results for the purpose of deriving a clinical decision point for a qualitative result output.","Nucleic acids isolated from human clinical specimens [e.g., cell free, circulating tumor DNA (ctDNA) from human plasma, DNA isolated from formalin-fixed, paraffin-embedded tumor tissue, etc.] and matched normal tissue or peripheral whole blood.",N,N,Ineligible
PA,Pathology,PZM,Next Generation Sequencing Based Tumor Profiling Test,2,IDE,N,Y,,866.6080,1,510(K),A next-generation sequencing based tumor profiling test is a qualitative in vitro diagnostic test intended to detect mutations in a broad panel of targeted genes that are somatically altered in malignant neoplasms from tumor specimens obtained from patients diagnosed with malignant solid neoplasms using targeted next-generation sequencing.,"The test may also include specimen handling, nucleic acid purification methods, target enrichment, library preparation and sequencing reagents, instrument systems and software.","High throughput, massive parallel targeted sequencing including molecular reagents for target enrichment, library preparation and sequencing using multiplexed polymerase chain reactions , sequencing instrumentation and bioinformatics software.  May also include unique algorithms based on sequencing results for the purpose of deriving a clinical decision point for a qualitative result output.",Human tumor tissue specimens and matched normal tissue or matched peripheral whole blood.,N,N,Ineligible
AN,Anesthesiology,NHK,"Resuscitator, Manual, Non Self-Inflating",2,IDE,N,N,,868.5905,1,510(K),"A non self-inflating manual resuscitator, also called a hyperinflation system, is a manual ventilator intended to ventilate a patient by forcing a volume of fresh gas into the patient via compression of the ventilator bag; a source of compressed breathing gas is required to inflate the bag.",,,,N,Y,Eligible
CH,Clinical Chemistry,QHJ,"Sensor, Glucose, Implanted, Non-Adjunctive Use",3,For Export Only,N,N,,,2,PMA,"A non-adjunctive implanted glucose sensor is intended to determine glucose   levels, and the direction and rate of change of glucose levels in people with   diabetes. The device is indicated to replace information obtained from standard   blood glucose monitoring devices to make diabetes-related treatment decisions. The device also provides historical glucose information, facilitating long-term therapy adjustments.","This device comprises a subcutaneously implanted sensor containing the glucose specific biological sensor, an algorithm that converts sensor signals into glucose values, a display device that provides glucose values to the user, and a mechanism for transmitting data from the sensor to the display device.",Signals from an implanted (subcutaneous) glucose specific biological sensor are algorithmically converted to glucose values which are provided to the user.,Interstitial fluid,Y,N,Ineligible
CH,Clinical Chemistry,PQF,"Sensor, Glucose, Invasive, Non-Adjunctive",3,For Export Only,N,N,,,2,PMA,"A non-adjunctive invasive glucose sensor is intended to determine glucose levels, and the direction and rate of change of glucose levels in people with diabetes. The device is indicated to replace information obtained from standard blood glucose monitoring devices to make diabetes-related treatment decisions. The device also provides historical glucose information, facilitating long-term therapy adjustments.","This device comprises a skin piercing sensor containing the glucose specific biological sensor, an algorithm that converts sensor signals into glucose values, a display device which provides glucose values to the user and a mechanism for transmitting data from the sensor to the display device.",Signals from an invasive (skin piercing) glucose specific biological sensor are algorithmically converted to glucose values which are provided to the user.,Interstitial fluid,N,N,Eligible
NE,Neurology,QHH,Non-Implanted Nerve Stimulator For Pain Associated With Irritable Bowel Syndrome (Ibs),2,IDE,N,N,,876.5340,1,510(K),A non-implanted nerve stimulator for functional abdominal pain relief is a device that stimulates nerves remotely from the source of pain with the intent to relieve functional abdominal pain. This generic type of device does not include devices designed to relieve pelvic pain.,A signal generator connected to percutaneous electrodes,Electrical stimulation of nerve branches using percutaneous electrodes,Cranial and occipital nerve branches,N,N,Ineligible
SU,General & Plastic Surgery,OKO,Negative Pressure Wound Therapy Non-Powered Suction Apparatus,2,IDE,N,N,,878.4683,1,510(K),"A non-powered suction apparatus indicated for negative pressure wound therapy (npwt) that is intended for wound management via application of continual or intermittent negative pressure to the wound for removal of fluids, including wound exudate, irrigation fluids, and infectious materials.",Mechanical pump and wound dressing kit,"The wound bed is dressed, fitted with mode of communication between the wound bed and suction apparatus, and sealed (according to labeling instructions).  The suction apparatus is engaged to create a vacuum (negative pressure) within the wound bed drives the wound exudate to be pumped from the wound bed into a collection canister.  It is designed to provide a pre-set level of negative pressure to the wound bed.","For management of chronic, acute, traumatic, subacute and dehisced wounds; partial-thickness burns; ulcers (such as diabetic or pressure) flaps and grafts.",N,N,Eligible
MI,Microbiology,OTG,Non-Sars Coronavirus Multiplex Nucleic Acid Assay,2,IDE,N,N,,866.3980,1,510(K),"A non-SARS coronavirus multiplex nucleic acid assay is a multiplex in vitro diagnostic test for the simultaneous qualitative detection and discrimination of coronavirus 229E, coronavirus NL63, coronavirus HKU1 and Coronavirus OC43 nucleic acids isolated and purified from human respiratory specimens obtained from individuals exhibiting signs and symptoms of respiratory tract infections or viral culture. The detection and discrimination of human non-SARS coronavirus nucleic acids from symptomatic patients aid in the diagnosis of human respiratory tract non-SARS coronavirus infections if used in conjunction with other clinical and laboratory findings.",Nucleic Acid Based Assay,Multiplex nucleic acid assay,IVD,N,N,Eligible
NE,Neurology,PJN,"Filler, Bone Void, Non-Alterable Compound For Cranioplasty",2,IDE,N,N,,882.5330,1,510(K),"A nonalterable cranial bone void filler is a device that is created from patient-specific computerized tomography (CT) imaging data and intended to fill bony voids, defects, and contour irregularities in non-load bearing regions of the cranial skeleton, and are not intrinsic to the stability of the bony structure. The materials used (e.g., metals, polyether ether ketone (PEEK), etc.) in the construction of the nonalterable cranial bone void fillers are not resorbable and cannot be altered or reshaped at the time of surgery or after implantation without changing the chemical behavior of the material.",Manufactured as Patient-Specific Preformed Implant,The device is implanted in the bony void and may be secured using plates and screws to prevent the movement of the cranial bone void filler.,"Cranium, Skull",Y,N,Eligible
MI,Microbiology,NJR,"Nucleic Acid Amplification Assay System, Group B Streptococcus, Direct Specimen Test",1,Pre-Amendment,N,N,,866.3740,4,510(K) Exempt,"A nucleic acid amplification assay system (including probes, other reagents, and instrumentation) is an aid in the identification of group b streptococci from pre-partum and intra-partum women to establish colonization status.",,,,N,N,Eligible
MI,Microbiology,NQX,"System, Nucleic Acid Amplification Test, Dna, Methicillin Resistant Staphylococcus Aureus, Direct Specimen",2,IDE,N,N,,866.1640,1,510(K),"A nucleic acid amplification assay system (including probes, other reagents, and instrumentation) is an aid in the identification of MRSA colonization status for the prevention and control of MRSA infections in healthcare settings.",,,,N,N,Ineligible
CH,Clinical Chemistry,PEG,Nucleic Acid Quantitation Kit,1,Pre-Amendment,N,N,,862.2310,4,510(K) Exempt,"A nucleic acid quantitation kit consists of a nucleic acid stain (e.g., fluorescent, colorimetric, etc.) which is used to detect and quantitate small amounts of DNA, RNA, or oligonucleotides in solution by measuring the amount of fluorescence or absorbance at a specified wavelength.",The device consists of a complete reagent kit or accessory nucleic acid dye reagents intended to be used together.,"A complete kit or accessory dye reagents which are intended and designed to bind to DNA (single- or double-stranded), RNA, or oligonucleotides depending upon the type of dye utilized.  The stained nucleic acid is measured using a spectrophotometer or fluorometer at a specified wavelength.",Nucleic acids,N,N,Eligible
HO,General Hospital,NTX,"Nursing Pad, Polyurethane Pad With Starch Copolymer, Glycerin, And Surfactant (F-68)",1,Pre-Amendment,N,N,,880.5630,4,510(K) Exempt,A NURSING PAD CONSISTING OF A POLYURETHANE PAD WITH GLYCERIN USED TO RELIEVE NIPPLES THAT ARE SORE AND CRACKED FROM BREASTFEEDING.,,,,N,N,Eligible
MI,Microbiology,OOU,Parainfluenza Multiplex Nucleic Acid Assay,2,IDE,N,N,,866.3980,1,510(K),"A parainfluenza multiplex nucleic acid assay is a multiplex in vitro diagnostic test for the simultaneous qualitative detection and discrimination of parainfluenza 1 virus, parainfluenza 2 virus, parainfluenza 3 virus and parainfluenza 4 virus nucleic acids isolated and purified from human respiratory specimens obtained from individuals exhibiting signs and symptoms of respiratory tract infections or viral culture. The detection and discrimination of human parainfluenza nucleic acids from symptomatic patients aid in the diagnosis of human respiratory tract parainfluenza infections if used in conjunction with other clinical and laboratory findings.",Nucleic Acid Based Assay,Multiplex nucleic acid assay,IVD,N,N,Eligible
HO,General Hospital,QDO,Fentanyl And Other Opioid  Protection Glove,1,Pre-Amendment,N,N,,880.6250,1,510(K),"A patient examination glove is a disposable device intended for medical purposes that is worn on the examiner's hand to prevent contamination between patient and examiner.      Fentanyl and other opioid protection gloves are tested for use with  chemotherapy drugs, Fentanyl Citrate, and possibly other opioids per ASTM D6978-05 (Reapproved 2013) Standard Practice for Assessment of Medical Gloves to Permeation by Chemotherapy Drugs.",Polymer examination medical glove,Device is worn on the hand,Skin of the hand,N,N,Ineligible
HO,General Hospital,OXZ,Pediatric/Child Facemask,2,IDE,N,N,,878.4040,1,510(K),"A pediatric/child facemask is intended to be worn by the patient/child to provide protection for the respiratory tract.   It is a single use, disposable device that is provided non-sterile.   The facemask is recommended for use in a healthcare setting with appropriate adult supervision.","A pediatric/child facemask is constructed of nonwoven materials. A nosepiece is placed within the bindings for comfort and individualized fit. It is appropriately sized to the smaller faces of children across a diverse population.  It is intended to be worn by the patient/child and is a single use, disposable device. It is intended to be worn by the pediatric patient to cover the nose and mouth to provide a barrier for the respiratory tract for microorganisms and particulate materials.",Anthrophometric data requirement,Respiratory Tract,N,N,Eligible
OR,Orthopedic,PQC,Pedicle Screw Placement Guide,2,IDE,N,N,,888.3070,1,510(K),A pedicle screw placement guide is intended to be used as a surgical instrument to assist in the intra-operative placement of pedicle screws that are used to anchor pedicle screw spinal systems onto the posterior elements of the spine. The device utilizes anatomic landmarks that are identifiable on pre-operative imaging scans.,"A pedicle screw placement guide, made of polymeric or metallic material, which contains a patient-matched surface that is congruent to the mating surface of the posterior elements of the spine.",The device consists of a both a software and hardware component. The software component generates a pre-operative plan based on medical imaging data. The hardware component consists of a patient-matched guide that is positioned onto the posterior elements of the spine. The guide is used to place pedicle screws in a pre-operatively desired orientation.,Spine,N,N,Ineligible
HO,General Hospital,NSC,"Injector, Pen",2,IDE,N,N,,880.5860,1,510(K),"A pen injector is a device that provides a nonelectrically-powered, mechanically-operated method of accurately injecting a dose of medicinal product from a medicinal cartridge, reservoir, or syringe through a manually-inserted single lumen hypodermic needle.  The device can be used by health professionals or for self-injection by the patient.",,,,N,N,Eligible
OB,Obstetrics/Gynecology,PEB,"Lubricant, Personal, Gamete, Fertilization, And Embryo Compatible",2,IDE,N,N,,884.5300,1,510(K),"A personal lubricant, for penile and/or vaginal application, intended to moisturize and lubricate, to enhance the ease and comfort of sexual activity and supplement the body's natural lubrication.  This device may or may not be compatible with natural rubber latex, polyisoprene, and/or polyurethane condoms.  This device is compatible with sperm, oocytes, and embryos and can be used by couples trying to conceive.  This device may also be used during fertility interventions to facilitate entry of diagnostic and therapeutic devices.",Liquid or gel,"Coats vaginal and/or penile tissue to reduce friction during sexual activity with or without a condom; is non-toxic to sperm, oocytes, and developing embryos and does not interfere with the fertilization process; lubricates devices used during fertility interventions.",Vagina and/or penis,N,N,Eligible
HO,General Hospital,QJY,"Infusion Pump, Drug Specific, Pharmacy-Filled",2,IDE,N,N,,880.5725,1,510(K),"A Pharmacy-Filled, Drug Specific Infusion System is a prescription device intended for delivery of a specific drug in accordance with the FDA approved labeling and may be filled at a location other than point of care.","A Pharmacy-Filled, Drug Specific Infusion System includes the delivery device, reservoir or syringe, and any administration sets and / or catheters or needles to infuse the specific drug and may contain materials needed to assist the pharmacist in filling and shipping the device containing an approved drug. This excludes compounded drugs.","A Pharmacy-Filled, Drug Specific Infusion System infuses a specific drug into the body in accordance with FDA approved labeling. The infusion system may be filled at a location other than point of care under conditions as outlined in the drug label.","In accordance with FDA approved labeling, a Pharmacy-Filled, Drug Specific Infusion System is intended for the route of administration specific to the approved drug label",N,N,Ineligible
CV,Cardiovascular,QDB,Photoplethysmograph Analysis Software For Over-The-Counter Use,2,IDE,N,N,,870.2790,1,510(K),A photoplethysmograph analysis software device for over-the-counter use analyzes photoplethysmograph data and provides information for identifying irregular heart rhythms. This device is not intended to provide a diagnosis.,Software.,Analyzes photoplethysmograph data and provides detection information.,Software.,N,N,Ineligible
HO,General Hospital,NKN,"Syringe, Piston, Reprocessed",2,IDE,N,N,,880.5860,1,510(K),"A piston syringe is a device intended for medical purposes that consists of a calibrated hollow barrel and a movable plunger.  At one end of the barrel there is a male connector (nozzle) for fitting the female connector (hub) of a hypodermic single lumen needle.  The device is used to inject fluids into, or withdraw fluids from, the body.",,,,N,N,Eligible
TX,Clinical Toxicology,QBB,Placental Alpha Microglobulin-1 Immunoassay,3,For Export Only,N,N,,,2,PMA,A Placental Alpha Microglobulin-1 Immunoassay is a qualitative test intended to detect the presence of placental alpha microglobulin 1 (PAMG-1) in cervicovaginal secretions. The test is indicated as an aid to assess the risk of spontaneous preterm delivery in less than or equal to 7 days from the time of cervicovaginal sample collection in pregnant women with signs and symptoms of early preterm labor.,In vitro diagnostic test,Qualitative immunochromatographic test,Cervicovaginal secretions,N,N,Ineligible
TX,Clinical Toxicology,QDR,"Plazomicin Test System, Immunoassay",2,IDE,N,Y,,862.3460,1,510(K),A plazomicin test system is a device intended to measure plazomicin in human specimens. Measurements obtained by this device are used in monitoring levels of plazomicin to ensure appropriate therapy in patients with complicated urinary tract infection.,In vitro diagnostic test in patients with complicated urinary tract infection,Quantitative immunoassay,Human plasma specimens,N,N,Ineligible
AN,Anesthesiology,JED,"Analyzer, Oxyhemoglobin Concentration, Blood-Phase, Indwelling",3,For Export Only,N,N,,868.1120,2,PMA,"A PMA or notice of completion of a PDP is required to be filed with the Food and Drug Administration on or before September 21, 2004, for any indwelling blood oxyhemoglobin concentration analyzer that was in commercial distribution before May 28, 1976, or that has, on or before September 21, 2004, been found to be substantially equivalent to an indwelling blood oxyhemoglobin concentration analyzer that was in commercial distribution before May 28, 1976. Any other indwelling blood oxyhemoglobin concentration analyzer shall have an approved PMA or declared completed PDP in effect before being placed in commercial distribution.",,,,N,N,Eligible
SU,General & Plastic Surgery,QGX,General Use Pneumatic Tourniquet,1,Pre-Amendment,N,N,,878.5910,4,510(K) Exempt,"A pneumatic tourniquet is an air-powered device consisting of a pressure-regulating unit, connecting tubing, and an inflatable cuff. The cuff is intended to be wrapped around a patient's limb and inflated to reduce or totally occlude circulation.",The device is shaped and sized to fit around a patient's limb.,The device performs its intended use by applying targeted pneumatic pressure to the affected area on the body.,"Limb, extremity",N,N,Ineligible
MI,Microbiology,OQO,Herpes Simplex Virus Nucleic Acid Amplification Assay,2,IDE,N,N,,866.3305,1,510(K),A polymerase chain reaction (pcr)-based qualitative in vitro diagnostic test for the detection and typing of herpes simplex virus (hsv) dna using vaginal swab specimens.,"Plasma, serum, swab, culture isolates",Polymerase chain reaction (PCR)-based qualitative in vitro diagnostic test for the detection and typing of herpes simplex virus (HSV) DNA,Systemic,N,N,Eligible
AN,Anesthesiology,QBY,Positive Airway Pressure System,2,IDE,N,N,,868.5273,1,510(K),A positive airway pressure delivery system is a prescription noninvasive ventilatory device that delivers expiratory positive airway pressure for patients suffering from obstructive sleep apnea. The system also provides positive airway pressure during incipient apnea. The system may include a dedicated flow generator and a patient interface.,Mask and flow generator,Use of a mask and a flow generator by a patient while sleeping.,Nasopharynx,N,N,Ineligible
OR,Orthopedic,PEK,Spinous Process Plate,2,IDE,N,N,,888.3050,1,510(K),"A posterior, non-pedicle supplemental fixation device intended for single level use in the non-cervical spine (T1-S1).  It is intended for single level plate fixation/attachment to spinous process for the purpose of achieving supplemental fusion in the following conditions: Degenerative Disc Disease (defined as back pain of discogenic origin with degeneration of the disc confirmed by history and radiographic studies), Trauma (i.e., fracture or dislocation), Spondylolisthesis, and/or Tumor.  It is not intended for stand-alone use.","Plates with teeth/spikes and crossbar/tray/bumper that connects and locks plates together, metallic, metallic and polymer combination","Placed between two spinous processes to immobilize the segment, provide supplemental stabilization, and to facilitate fusion at the treated level",Non-cervical spine (T1-S1),Y,N,Eligible
HO,General Hospital,OPC,Powder-Free Polychloroprene Patient Examination Glove,1,Pre-Amendment,N,Y,,880.6250,1,510(K),"A powder free polychloroprene patient examination glove is a disposable device made of polychloroprene rubber tthat bears powder to facilitate donning, and is intended to be worn on the hand for medical purposes to provide a barrier against potentially infectious materials and other contaminants.","A powder free polychloroprene patient examination glove is a disposable device made of polychloroprene rubber tthat bears powder to facilitate donning, and is intended to be worn on the hand for medical purposes to provide a barrier against potentially infectious materials and other contaminants.","A powder free polychloroprene patient examination glove is a disposable device made of polychloroprene rubber tthat bears powder to facilitate donning, and is intended to be worn on the hand for medical purposes to provide a barrier against potentially infectious materials and other contaminants.",glove,N,N,Eligible
HO,General Hospital,OPA,Powder-Free Non-Natural Rubber Latex Surgeon'S Gloves,1,Pre-Amendment,N,Y,,878.4460,1,510(K),"A powder-free surgeon's glove is a disposable device made of non-natural rubber that may bear a trace amount of residual powder and it is intended to be worn on the hands, usually in surgical settings, to provide a barrier against potentially infectious materials and other contaminants.","A powder-free surgeon's glove is a disposable device made of non-natural rubber that may bear a trace amount of residual powder and it is intended to be worn on the hands, usually in surgical settings, to provide a barrier against potentially infectious materials and other contaminants.","A powder-free surgeon's glove is a disposable device made of non-natural rubber that may bear a trace amount of residual powder and it is intended to be worn on the hands, usually in surgical settings, to provide a barrier against potentially infectious materials and other contaminants.",glove,N,N,Eligible
OP,Ophthalmic,OHW,"Burr, Corneal, Battery Powered, Rust Ring Removal",1,Pre-Amendment,N,N,,886.4070,4,510(K) Exempt,A powered corneal burr is an AC-powered or battery-powered device that is a motor and drilling tool intended to remove rust rings from the cornea of the eye and is class I exempt when intended only for rust ring removal.,A powered corneal burr is an AC-powered or battery-powered device that is a motor and drilling tool intended to remove rust rings from the cornea of the eye and is class I exempt when intended only for rust ring removal.,A powered corneal burr is an AC-powered or battery-powered device that is a motor and drilling tool intended to remove rust rings from the cornea of the eye and is class I exempt when intended only for rust ring removal.,A powered corneal burr is an AC-powered or battery-powered device that is a motor and drilling tool intended to remove rust rings from the cornea of the eye and is class I exempt when intended only for rust ring removal.,N,N,Eligible
OP,Ophthalmic,OHX,"Burr, Corneal, Ac-Powered, Rust Ring Removal",1,Pre-Amendment,N,N,,886.4070,4,510(K) Exempt,A powered corneal burr is an AC-powered or battery-powered device that is a motor and drilling tool intended to remove rust rings from the cornea of the eye and is class I exempt when intended only for rust ring removal.,A powered corneal burr is an AC-powered or battery-powered device that is a motor and drilling tool intended to remove rust rings from the cornea of the eye and is class I exempt when intended only for rust ring removal.,A powered corneal burr is an AC-powered or battery-powered device that is a motor and drilling tool intended to remove rust rings from the cornea of the eye and is class I exempt when intended only for rust ring removal.,A powered corneal burr is an AC-powered or battery-powered device that is a motor and drilling tool intended to remove rust rings from the cornea of the eye and is class I exempt when intended only for rust ring removal.,N,N,Eligible
NE,Neurology,PHL,Powered Exoskeleton,2,IDE,N,N,,890.3480,1,510(K),"A powered exoskeleton is a prescription device that is composed of an external, powered, motorized orthosis that is placed over a person's paralyzed or weakened lower extremity limb(s) for medical purposes.","The device is comprised of external, powered, orthotic components that rely on controllers and/or sensors.","The device facilitates movement of one or multiple lower extremity joints (e.g. hip, knee, ankle).","The device is intended to be used on the lower extremity.  It may be used unilaterally, bilaterally, on a single joint, or on multiple joints.",N,N,Eligible
SU,General & Plastic Surgery,QAI,Powered Microneedle Device,2,IDE,N,N,,878.4430,1,510(K),A powered microneedle device is a device using one or more needles to mechanically puncture and injure skin tissue for aesthetic use.,Powered microneedle pen with single use needle cartridge and multi-use motorized base.,The skin is mechanically punctured to the point of pinpoint bleeding to create injuries in the skin.,"Skin, face, and body.",N,N,Eligible
PM,Physical Medicine,NGX,"Stimulator, Muscle, Powered, For Muscle Conditioning",2,IDE,N,Y,,890.5850,1,510(K),"A powered muscle stimulator for muscle conditioning is a device used for other than medical purposes to apply an electrical current to electrodes on a person's skin to temporarily affect the stimulated muscle's contractile properties, force output, and/or fatigue resistance.  Unlike the classified Powered Muscle Stimulator devices intended for use in physical medicine and rehabilitation, this device is not intended for use in patients with medical conditions and is intended only for muscle conditioning purposes.",,,,N,N,Eligible
AN,Anesthesiology,OMT,Absorbable Lung Biopsy Plug,2,IDE,N,N,,878.4755,1,510(K),"A pre-formed (polymerized) absorbable lung biopsy plug is intended to provide accuracy in marking a biopsy location for visualization during surgical resection and closure of pleural punctures associated with percutaneous, transthoracic needle lung biopsies.  Upon, deployment into the biopsy tract, the plug expands to fill the biopsy void and remains in place until resorbed.","Polymerized hydrogel plug, cylindrical in shape and placed by a deployment system following lung biopsy by smaller biopsy needle/instrument.","Upon deployment into a lung biopsy tract, the plug expands to fill the biopsy void provide closure of the biopsy void.","to be used in the lung, specifically in punctures left by percutenous, transthoracic needles",Y,N,Eligible
SU,General & Plastic Surgery,PQI,Wound Retraction And Protection System,2,IDE,N,Y,,878.4371,1,510(K),"A prescription device intended to be used by a surgeon to retract the surgical incision, to provide access to the surgical wound, to protect and irrigate the surgical wound, and to serve as a conduit for removal of fluid from the surgical wound.","The device is comprised of a flexible, double-walled sheath with an impermeable inner layer.  The retraction component is formed by attaching the sheath to a fixed-diameter ring at the bottom of the device.  The sheath also includes an integrated fluid delivery and removal component.","The device is sterile, single-use surgical wound retraction that integrates surgical retraction, wound barrier protection, and fluid delivery and removal. Fluid is delivered via gravitational feed from an external sterile irrigation solution bag into the device and delivered to the wound edges through the permeable outer layer of the sheath. Excess fluid is removed through a separate chamber within the sheath via a connection with the hospital’s standard vacuum suction mechanism.",Abdomen,N,N,Eligible
HO,General Hospital,MTV,Sharps Needle Destruction Device,2,IDE,N,N,,880.6210,1,510(K),A prescription device that is intended to destroy needles or sharps used for medical purposes by incineration or mechanical means.,"Sharps needle destruction devices are typically electrical devices that   can destruct sharps and/or needles in a variety of methods (grinding,   incinerating, etc.) that can be either portable or stationary. Some of   these devices may also employ software to provide the user with greater   control.",Needles or sharps are placed into the device.,n/a,N,N,Eligible
NE,Neurology,PIW,Brain Injury Adjunctive Interpretive Electroencephalograph Assessment Aid,2,IDE,N,N,,882.1450,1,510(K),A prescription device that uses a patient¿s electroencephalograph (EEG) to provide an interpretation of the structural condition of the patient¿s brain in the setting of trauma.  The Brain Injury Adjunctive Interpretive EEG Assessment Aid is for use as an adjunct to standard clinical practice only as an assessment aid for a medical condition for which there exists other valid methods of diagnosis.,"Handheld EEG recording device, electrodes, and data analysis software",Software analysis of EEG signals,"Forehead, scalp",N,N,Eligible
